cif_id,true_labels,predictions
12_trispyrazole1,[0.         0.54423592 0.         0.16666667 0.70728793],[0.09346939 0.48284182 0.08       0.16833333 0.52526284]
40_1510309_hoifs-2,[0.51020408 0.         0.         0.         0.13560335],[0.25897959 0.36892761 0.16       0.1        0.43682198]
250-hof-zstu-1,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.06285714 0.48343164 0.065      0.16166667 0.57298088]
75_1889096_26pf6,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[0.06020408 0.57230563 0.115      0.16       0.62054361]
313-h4bptc-bpe,[0.         0.54423592 0.         0.16666667 0.70728793],[0.24163265 0.47160858 0.145      0.13666667 0.27336918]
176_hof-zju-102,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[0.1677551  0.51675603 0.215      0.18833333 0.34958184]
62_1877480_cphatn-npdmac,[0.04081633 0.54423592 0.         0.16666667 0.78554361],[0.0977551  0.4650134  0.09       0.21333333 0.56959976]
14_1044789_hof-7,[0.08163265 0.97319035 0.         0.33333333 0.9223417 ],[0.18755102 0.44412869 0.195      0.14666667 0.51369176]
148_1940052_seu-1,[0.         0.54423592 0.         0.16666667 0.70728793],[0.13040816 0.44407507 0.225      0.16166667 0.30470131]
293-1_s5,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.19122449 0.16908847 0.23       0.19166667 0.43742533]
2342256277,[0.         0.54423592 0.         0.16666667 0.70728793],[0.14102041 0.49691689 0.27       0.16       0.42121864]
13-3_ref_1234,[0.         0.54423592 0.         0.16666667 0.70728793],[0.08122449 0.44088472 0.04       0.15833333 0.59769415]
50_1841012_cbphat-1tcb,[0.         0.54423592 0.         0.16666667 0.70728793],[0.07285714 0.45772118 0.16       0.17333333 0.56508363]
2_g4bbs13,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.1377551  0.5238874  0.485      0.155      0.22412784]
5-12,[0.         0.54423592 0.         0.16666667 0.70728793],[0.00408163 0.54394102 0.035      0.17       0.69671446]
5-2,[0.         0.54423592 0.         0.16666667 0.70728793],[0.00306122 0.53887399 0.005      0.17       0.70200119]
5-11,[0.         0.54423592 0.         0.16666667 0.70728793],[0.03734694 0.47356568 0.015      0.16       0.66584229]
282-ppy-1_01_0000,[0.         0.54423592 0.         0.16666667 0.70728793],[0.01       0.54552279 0.01       0.165      0.71178017]
128_2010571_pfc-33tba,[0.04081633 0.54423592 0.         0.16666667 0.78554361],[0.06489796 0.53742627 0.22       0.16333333 0.47215054]
264-cp-py-2-dcb,[0.         0.54423592 0.         0.16666667 0.70728793],[0.01       0.54552279 0.01       0.165      0.71178017]
2_g4bbs22,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.14367347 0.4350134  0.49       0.16833333 0.23025687]
2_g4bbs2,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.12571429 0.51184987 0.495      0.15       0.18390084]
264-cp-py-2-tcb,[0.         0.54423592 0.         0.16666667 0.70728793],[0.13816327 0.4761126  0.13       0.17       0.3394325 ]
2_g2mbs059,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.10204082 0.54155496 0.5        0.16666667 0.18620072]
13-2b_ref_br,[0.         0.54423592 0.         0.16666667 0.70728793],[0.2877551  0.41911528 0.18       0.155      0.47122461]
19_1035280_t18-1,[0.         0.54423592 0.         0.16666667 0.70728793],[0.29204082 0.35241287 0.05       0.175      0.84494026]
129_1984228_upc-h7,[0.         0.54423592 0.         0.16666667 0.70728793],[0.08530612 0.56710456 0.265      0.18333333 0.39626045]
235_phof-1,[0.18367347 0.54155496 0.5        0.16666667 0.26105137],[0.14530612 0.48286863 0.415      0.16833333 0.26173238]
37_1541087-iii,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.1055102  0.14911528 0.465      0.21333333 0.34246117]
232hof-tppas,[0.51020408 0.         0.         0.         0.13560335],[0.22244898 0.44949062 0.21       0.2        0.41784349]
197-3ct-18c6-i,[0.         0.54423592 0.         0.16666667 0.70728793],[0.25122449 0.44268097 0.13       0.19       0.48565114]
64_1823163_1-co,[0.         0.54423592 0.         0.16666667 0.70728793],[0.39183673 0.42978552 0.265      0.68       0.42335723]
2262206854,[0.         0.54423592 0.         0.16666667 0.70728793],[0.15326531 0.48713137 0.23       0.165      0.25300478]
259-etta_br,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.12653061 0.46603217 0.415      0.16333333 0.22454002]
205l-et,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.13122449 0.46230563 0.305      0.235      0.36642772]
