cif_id,true_labels,predictions
84_1867932_6,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.1444898  0.54718499 0.275      0.24833333 0.38741935]
118_1991981_pentamof-1,[0.18367347 0.54155496 0.5        0.16666667 0.26105137],[0.17755102 0.48150134 0.235      0.21666667 0.42660394]
40_1510310_hoifs-3,[0.51020408 0.         0.         0.         0.13560335],[0.2855102  0.33243074 0.125      0.125      0.40091398]
2_g2cbs,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.1182465  0.46092578 0.41288    0.185      0.24778651]
102_1970869_85dmso2c6h6,[0.08163265 0.97319035 0.         0.33333333 0.9223417 ],[0.18979592 0.77871314 0.135      0.255      0.63206093]
189_2038905_cpdc-1,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.07265306 0.33117962 0.12       0.20833333 0.47270012]
119_1974671_dy-hhfs,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.21714286 0.46230563 0.215      0.2        0.53043608]
42_1579887_phtcz-3,[0.67346939 0.         0.         0.         0.15890084],[0.18387755 0.54407507 0.5        0.16666667 0.34738949]
187_3d-p-benzoquinone,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.29830241 0.25723861 0.0075     0.19339909 0.19228196]
29_1529718_hof-9,[0.08163265 0.97319035 0.         0.33333333 0.9223417 ],[0.09897959 0.53883378 0.105      0.28597222 0.54057945]
2172216825mep-hof,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.20755102 0.30316354 0.02       0.15166667 0.41703106]
42_1579889_phtcz-1,[0.51020408 0.         0.         0.         0.13560335],[0.16979592 0.50178284 0.375      0.165      0.2503405 ]
263-bptca-2,[0.         0.54423592 0.         0.16666667 0.70728793],[0.46367347 0.58383378 0.32       0.16333333 0.3618638 ]
104_1857375_1,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.13714286 0.28713137 0.115      0.15166667 0.48598566]
270-fju-57,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.1577551  0.50544236 0.15       0.22166667 0.4098626 ]
32_1540572_cphat-1a,[0.         0.54423592 0.         0.16666667 0.70728793],[0.10081633 0.50640751 0.225      0.19166667 0.54551374]
38_1578416-tpme-1,[0.         0.54423592 0.         0.16666667 0.70728793],[0.20265306 0.59941019 0.09       0.22       0.53729988]
160_2056901_tpe2tp,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.12836735 0.39091153 0.205      0.18666667 0.35821087]
293-1biphenyldicarboxylate,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.11204082 0.15490617 0.285      0.17666667 0.35989546]
263-tptca-1,[0.         0.54423592 0.         0.16666667 0.70728793],[0.74408163 0.21209115 0.08       0.075      0.1014098 ]
58_1841048_-tmahac,[0.16326531 1.         0.5        0.33333333 0.49880526],[0.21673469 0.46050938 0.075      0.21513889 0.51545224]
84_1867936_10,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.11428571 0.53243968 0.055      0.22833333 0.53023895]
11_1010353_hof-4,[0.         0.54423592 0.         0.16666667 0.70728793],[0.09367347 0.53174263 0.26       0.17333333 0.49805257]
192hof-hapcp,[0.18367347 0.45844504 0.         0.16666667 0.12843489],[0.44816327 0.41579088 0.185      0.19       0.43962366]
157_2078751_hof-16-ethanol,[0.18367347 0.54155496 0.5        0.16666667 0.26105137],[0.15867347 0.58919571 0.405      0.18333333 0.3231589 ]
258-hof-lifm-8,[0.         0.54423592 0.         0.16666667 0.70728793],[0.10612245 0.50967828 0.06       0.16666667 0.22483871]
37_1541085-i,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.38653061 0.05442359 0.39       0.17666667 0.28212366]
2_g234tmbs,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.12288265 0.54504915 0.485      0.185      0.23745938]
187_3d-thiophene-pbenzoquinone,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.32666667 0.28831099 0.22875    0.22944444 0.23723243]
98_1938465_complex1,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.21843537 0.54245755 0.305      0.25458333 0.49512147]
10-sof-7,[0.         0.54423592 0.         0.16666667 0.70728793],[0.07918367 0.4724933  0.145      0.16166667 0.63200717]
36_1566036_imp-18,[0.         0.54423592 0.         0.16666667 0.70728793],[0.24204082 0.52091153 0.26       0.265      0.54980287]
162_2076399_pycalow-a,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[0.20408163 0.63806971 0.         0.16666667 0.28076464]
54_1857527_py6mes25thf,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.26346939 0.50656836 0.205      0.205      0.41942055]
79_1890648_hof-fe,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.19591837 0.42203753 0.205      0.18291667 0.40779072]
141_2027045_hof-nf,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.15602041 0.50847721 0.195      0.22166667 0.4973178 ]
75_1889092_1a6pf6,[0.26530612 0.54155496 0.5        0.16666667 0.28554361],[0.18156463 0.5761126  0.025      0.18166667 0.34643369]
73_1908805_hcof-4,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[0.18673469 0.64053619 0.02       0.16833333 0.54455795]
187_3d-benzene,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.31311224 0.24914209 0.00125    0.16684046 0.18748507]
87_1902587_tcpp-2dmf,[0.         0.54423592 0.         0.16666667 0.70728793],[0.07510204 0.50034853 0.195      0.21333333 0.57224014]
73_1910292_p7,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[0.18265306 0.6355496  0.01       0.16666667 0.55105735]
186_pfc-71,[0.         0.54423592 0.         0.16666667 0.70728793],[0.0955102  0.42650134 0.21       0.16666667 0.44881123]
62_1877481_cphatn-1tcb,[0.10204082 0.54423592 0.         0.16666667 1.        ],[0.14591837 0.5189008  0.045      0.17166667 0.55798088]
95_1865242_pethof-2,[0.3877551  0.24664879 0.         0.16666667 0.        ],[0.17244898 0.46243968 0.16       0.165      0.59017324]
254-exp_485,[0.         0.54423592 0.         0.16666667 0.70728793],[0.05897959 0.49431635 0.2        0.17166667 0.4892951 ]
37_1541098-xiv,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.15387755 0.0647185  0.295      0.21       0.35905814]
258-hof-lifm-6,[0.         0.54423592 0.         0.16666667 0.70728793],[0.10183673 0.52578016 0.01       0.19333333 0.29476703]
78_1576305_1,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.16809524 0.44474173 0.06875    0.19888889 0.41978793]
13-2a_ref_h,[0.         0.54423592 0.         0.16666667 0.70728793],[0.01020408 0.34010724 0.005      0.16666667 0.63191159]
12_trispyrazole1,[0.         0.54423592 0.         0.16666667 0.70728793],[0.04265306 0.52662198 0.13       0.16833333 0.63113102]
40_1510309_hoifs-2,[0.51020408 0.         0.         0.         0.13560335],[0.25938776 0.39244861 0.145      0.12166667 0.41508363]
250-hof-zstu-1,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.16346939 0.47873995 0.09       0.16666667 0.57714456]
75_1889096_26pf6,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[0.07455782 0.55016086 0.11666667 0.195      0.57189964]
313-h4bptc-bpe,[0.         0.54423592 0.         0.16666667 0.70728793],[0.20489796 0.41855228 0.105      0.14166667 0.24105137]
176_hof-zju-102,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[0.18262755 0.56782306 0.1725     0.24       0.41862306]
62_1877480_cphatn-npdmac,[0.04081633 0.54423592 0.         0.16666667 0.78554361],[0.33408163 0.51072386 0.145      0.245      0.61600956]
14_1044789_hof-7,[0.08163265 0.97319035 0.         0.33333333 0.9223417 ],[0.11469388 0.53506702 0.215      0.175      0.47631422]
148_1940052_seu-1,[0.         0.54423592 0.         0.16666667 0.70728793],[0.23204082 0.54581769 0.13       0.21833333 0.41060306]
293-1_s5,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.12877551 0.3050134  0.185      0.25333333 0.50367981]
2342256277,[0.         0.54423592 0.         0.16666667 0.70728793],[0.11510204 0.5463807  0.215      0.21833333 0.27502389]
13-3_ref_1234,[0.         0.54423592 0.         0.16666667 0.70728793],[0.02183673 0.48630027 0.01       0.16666667 0.735681  ]
50_1841012_cbphat-1tcb,[0.         0.54423592 0.         0.16666667 0.70728793],[0.14387755 0.4991689  0.175      0.19166667 0.59293907]
2_g4bbs13,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.12081633 0.56563246 0.48       0.18       0.1787037 ]
5-12,[0.         0.54423592 0.         0.16666667 0.70728793],[0.         0.5310992  0.005      0.16666667 0.70807049]
5-2,[0.         0.54423592 0.         0.16666667 0.70728793],[0.         0.54423592 0.         0.16666667 0.70807049]
5-11,[0.         0.54423592 0.         0.16666667 0.70728793],[0.00142857 0.47329759 0.055      0.18       0.67152927]
282-ppy-1_01_0000,[0.         0.54423592 0.         0.16666667 0.70728793],[0.         0.54423592 0.         0.16666667 0.70728793]
128_2010571_pfc-33tba,[0.04081633 0.54423592 0.         0.16666667 0.78554361],[0.15653061 0.53018767 0.26       0.165      0.44467742]
264-cp-py-2-dcb,[0.         0.54423592 0.         0.16666667 0.70728793],[0.         0.54423592 0.         0.16666667 0.70728793]
2_g4bbs22,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.12408163 0.54758713 0.375      0.2        0.25982079]
2_g4bbs2,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.1022449  0.54423592 0.5        0.16666667 0.1786141 ]
264-cp-py-2-tcb,[0.         0.54423592 0.         0.16666667 0.70728793],[0.15960017 0.45545295 0.19125    0.17333333 0.40040701]
2_g2mbs059,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.10326531 0.54158177 0.5        0.16666667 0.18991637]
13-2b_ref_br,[0.         0.54423592 0.         0.16666667 0.70728793],[0.1877551  0.46021448 0.175      0.17666667 0.3612963 ]
19_1035280_t18-1,[0.         0.54423592 0.         0.16666667 0.70728793],[0.51816327 0.3366756  0.015      0.16666667 0.80879331]
129_1984228_upc-h7,[0.         0.54423592 0.         0.16666667 0.70728793],[0.19653061 0.44801162 0.21       0.21333333 0.4238859 ]
235_phof-1,[0.18367347 0.54155496 0.5        0.16666667 0.26105137],[0.20510204 0.5325     0.455      0.17666667 0.36573798]
37_1541087-iii,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.10731584 0.21115282 0.445      0.2875     0.48710581]
232hof-tppas,[0.51020408 0.         0.         0.         0.13560335],[0.19326531 0.47658177 0.26       0.255      0.4189996 ]
197-3ct-18c6-i,[0.         0.54423592 0.         0.16666667 0.70728793],[0.11734694 0.54040214 0.1325     0.27333333 0.48187575]
64_1823163_1-co,[0.         0.54423592 0.         0.16666667 0.70728793],[0.24306122 0.68257373 0.275      0.57666667 0.72004182]
2262206854,[0.         0.54423592 0.         0.16666667 0.70728793],[0.12163265 0.55201072 0.05       0.19722222 0.4573178 ]
259-etta_br,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.17346939 0.59487265 0.385      0.17333333 0.2038172 ]
205l-et,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.11918367 0.58198391 0.215      0.21666667 0.47922939]
