cif_id,true_labels,predictions
87_1902587_tcpp-2dmf,[0.         0.54423592 0.         0.16666667 0.70728793],[0.10031018 0.48713184 0.09353438 0.17464192 0.53348949]
73_1910292_p7,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[0.17419531 0.6405665  0.04887606 0.17790746 0.55155509]
186_pfc-71,[0.         0.54423592 0.         0.16666667 0.70728793],[0.10697904 0.47831247 0.23273333 0.16916545 0.36613487]
62_1877481_cphatn-1tcb,[0.10204082 0.54423592 0.         0.16666667 1.        ],[0.12685422 0.55836852 0.05768352 0.1693759  0.60018882]
95_1865242_pethof-2,[0.3877551  0.24664879 0.         0.16666667 0.        ],[0.12860173 0.47954469 0.15240372 0.16246908 0.54127285]
254-exp_485,[0.         0.54423592 0.         0.16666667 0.70728793],[0.14838953 0.48288423 0.16325944 0.1837738  0.364356  ]
37_1541098-xiv,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.16200752 0.02680965 0.19713359 0.20253623 0.47448065]
258-hof-lifm-6,[0.         0.54423592 0.         0.16666667 0.70728793],[0.15380005 0.47421979 0.05657741 0.18342512 0.35434423]
78_1576305_1,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.15296128 0.52744858 0.18588123 0.19789505 0.37725856]
13-2a_ref_h,[0.         0.54423592 0.         0.16666667 0.70728793],[0.01863345 0.48296415 0.03684707 0.16950921 0.55819997]
12_trispyrazole1,[0.         0.54423592 0.         0.16666667 0.70728793],[0.08256992 0.45338951 0.11680637 0.1689045  0.62778747]
40_1510309_hoifs-2,[0.51020408 0.         0.         0.         0.13560335],[0.30959178 0.44598435 0.14682119 0.11262241 0.51767934]
250-hof-zstu-1,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.11195094 0.47987826 0.1121328  0.17033621 0.53472185]
75_1889096_26pf6,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[0.11045408 0.49913646 0.15653276 0.18144594 0.52767922]
313-h4bptc-bpe,[0.         0.54423592 0.         0.16666667 0.70728793],[0.19722638 0.49012952 0.14522989 0.18344941 0.34323576]
176_hof-zju-102,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[0.17889625 0.5383754  0.14839885 0.22107087 0.38541513]
62_1877480_cphatn-npdmac,[0.04081633 0.54423592 0.         0.16666667 0.78554361],[0.32528518 0.50327604 0.09541398 0.18056686 0.610745  ]
14_1044789_hof-7,[0.08163265 0.97319035 0.         0.33333333 0.9223417 ],[0.13610888 0.53110852 0.16609257 0.14702234 0.44380018]
148_1940052_seu-1,[0.         0.54423592 0.         0.16666667 0.70728793],[0.17953659 0.48353251 0.22104017 0.18685674 0.38358933]
293-1_s5,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.13422129 0.39330119 0.19256642 0.21061453 0.39706385]
2342256277,[0.         0.54423592 0.         0.16666667 0.70728793],[0.10979888 0.53308025 0.19004912 0.18910016 0.31331139]
13-3_ref_1234,[0.         0.54423592 0.         0.16666667 0.70728793],[0.02850955 0.48296415 0.06019689 0.16950921 0.733263  ]
50_1841012_cbphat-1tcb,[0.         0.54423592 0.         0.16666667 0.70728793],[0.11915003 0.42835941 0.13695925 0.17067982 0.60397786]
2_g4bbs13,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.12792044 0.48283096 0.46513919 0.18833127 0.22938522]
5-12,[0.         0.54423592 0.         0.16666667 0.70728793],[0.01821169 0.49304885 0.03223946 0.17036342 0.63426273]
5-2,[0.         0.54423592 0.         0.16666667 0.70728793],[0.01821169 0.49304885 0.03019807 0.17036342 0.63426273]
5-11,[0.         0.54423592 0.         0.16666667 0.70728793],[0.02016452 0.40680042 0.03359639 0.17194908 0.63377246]
282-ppy-1_01_0000,[0.         0.54423592 0.         0.16666667 0.70728793],[0.01481157 0.48296415 0.0417221  0.1702081  0.71028798]
128_2010571_pfc-33tba,[0.04081633 0.54423592 0.         0.16666667 0.78554361],[0.11572895 0.51744056 0.16989494 0.16527387 0.50122466]
264-cp-py-2-dcb,[0.         0.54423592 0.         0.16666667 0.70728793],[0.01481157 0.48296415 0.0417221  0.1702081  0.71028798]
2_g4bbs22,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.12792044 0.46878548 0.4503647  0.19793477 0.25264072]
2_g4bbs2,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.12792044 0.48236002 0.46991191 0.18758147 0.22938522]
264-cp-py-2-tcb,[0.         0.54423592 0.         0.16666667 0.70728793],[0.2057328  0.48283096 0.16804824 0.1769116  0.35441835]
2_g2mbs059,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.13369554 0.48283096 0.46890306 0.19743909 0.26692574]
13-2b_ref_br,[0.         0.54423592 0.         0.16666667 0.70728793],[0.1703312  0.47919914 0.10230742 0.14768039 0.39802525]
19_1035280_t18-1,[0.         0.54423592 0.         0.16666667 0.70728793],[0.49881075 0.47470468 0.03003452 0.16950921 0.62774491]
129_1984228_upc-h7,[0.         0.54423592 0.         0.16666667 0.70728793],[0.1431485  0.48288423 0.33082146 0.18785127 0.33956652]
235_phof-1,[0.18367347 0.54155496 0.5        0.16666667 0.26105137],[0.18006015 0.48629701 0.25433052 0.19913247 0.37210032]
37_1541087-iii,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.19010989 0.12780966 0.27157903 0.23029522 0.37009351]
232hof-tppas,[0.51020408 0.         0.         0.         0.13560335],[0.17688979 0.47092674 0.2050032  0.19742613 0.4803789 ]
197-3ct-18c6-i,[0.         0.54423592 0.         0.16666667 0.70728793],[0.16560652 0.5292661  0.16517962 0.20704178 0.37962705]
64_1823163_1-co,[0.         0.54423592 0.         0.16666667 0.70728793],[0.20496729 0.6592871  0.19166022 0.58833333 0.69581226]
2262206854,[0.         0.54423592 0.         0.16666667 0.70728793],[0.17427374 0.49109782 0.17245292 0.20453958 0.37673571]
259-etta_br,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.17826163 0.47433391 0.29842928 0.18448571 0.35030306]
205l-et,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.16194638 0.48546455 0.27168048 0.18591104 0.37461102]
