cif_id,true_labels,predictions
187_3d-thiophene-pbenzoquinone,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[ 0.28960131  0.34027621 -0.06712507  0.22617757  0.25835199]
98_1938465_complex1,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.24741426 0.38517465 0.14828036 0.03819895 0.20637515]
10-sof-7,[0.         0.54423592 0.         0.16666667 0.70728793],[0.12128199 0.47744498 0.20704736 0.1076609  0.74054596]
36_1566036_imp-18,[0.         0.54423592 0.         0.16666667 0.70728793],[0.05317446 0.63270707 0.37644841 0.28604734 0.47747651]
162_2076399_pycalow-a,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[0.22464662 0.61887068 0.00982512 0.16649579 0.28197927]
54_1857527_py6mes25thf,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.30645456 0.52037394 0.21784554 0.21688624 0.18797261]
79_1890648_hof-fe,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.14237716 0.47386946 0.16161389 0.16738681 0.38885307]
141_2027045_hof-nf,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.10976795 0.60301536 0.33551646 0.20835976 0.54829974]
75_1889092_1a6pf6,[0.26530612 0.54155496 0.5        0.16666667 0.28554361],[ 0.1828935   0.50935518 -0.04506534  0.14903074  0.3592103 ]
73_1908805_hcof-4,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[ 0.10757831  0.66655748 -0.1207124   0.16659181  0.36006152]
187_3d-benzene,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[ 0.35087145  0.23644534 -0.02047787  0.13398989  0.18007352]
87_1902587_tcpp-2dmf,[0.         0.54423592 0.         0.16666667 0.70728793],[0.11370613 0.56133228 0.05493821 0.12454956 0.60623618]
73_1910292_p7,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[ 0.13209718  0.69962536 -0.0985633   0.17219571  0.37117265]
186_pfc-71,[0.         0.54423592 0.         0.16666667 0.70728793],[0.10616791 0.36991219 0.0957368  0.15022803 0.35749365]
62_1877481_cphatn-1tcb,[0.10204082 0.54423592 0.         0.16666667 1.        ],[0.02009756 0.49573092 0.08552244 0.10756993 0.53377316]
95_1865242_pethof-2,[0.3877551  0.24664879 0.         0.16666667 0.        ],[ 0.20053784  0.35290655 -0.03933367  0.1185967   0.48801954]
254-exp_485,[0.         0.54423592 0.         0.16666667 0.70728793],[0.13110007 0.46854116 0.05176003 0.18056316 0.38099141]
37_1541098-xiv,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.07982078 0.19869061 0.28965992 0.13294153 0.46088445]
258-hof-lifm-6,[0.         0.54423592 0.         0.16666667 0.70728793],[0.07688965 0.61447657 0.01343506 0.24578051 0.49747575]
78_1576305_1,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[-0.02407284  0.67950827  0.07308296  0.14251918  0.71060945]
13-2a_ref_h,[0.         0.54423592 0.         0.16666667 0.70728793],[ 0.24123785  0.3185855  -0.00768373  0.16777446  0.50513221]
12_trispyrazole1,[0.         0.54423592 0.         0.16666667 0.70728793],[-0.01137321  0.48609357  0.02933898  0.11933778  0.52249445]
40_1510309_hoifs-2,[0.51020408 0.         0.         0.         0.13560335],[ 0.08708248  0.24574356 -0.03272789  0.15492507  0.23881633]
250-hof-zstu-1,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.15078101 0.4426112  0.02364248 0.04219115 0.65913707]
75_1889096_26pf6,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[0.08666942 0.50626333 0.11378788 0.29820714 0.4438111 ]
313-h4bptc-bpe,[0.         0.54423592 0.         0.16666667 0.70728793],[0.29802473 0.5099387  0.11701265 0.22383024 0.16092736]
176_hof-zju-102,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[-0.02084906  0.74476384  0.01215931  0.27786993  0.28416908]
62_1877480_cphatn-npdmac,[0.04081633 0.54423592 0.         0.16666667 0.78554361],[0.15045193 0.55318223 0.1488601  0.12343101 0.68223316]
14_1044789_hof-7,[0.08163265 0.97319035 0.         0.33333333 0.9223417 ],[0.3075332  0.39039797 0.29553169 0.10794705 0.28472154]
148_1940052_seu-1,[0.         0.54423592 0.         0.16666667 0.70728793],[0.20578906 0.37151824 0.05278794 0.17558765 0.33681085]
293-1_s5,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.31391569 0.12794707 0.22246857 0.07632838 0.29031375]
2342256277,[0.         0.54423592 0.         0.16666667 0.70728793],[0.15537918 0.33075503 0.50392381 0.24214223 0.31696742]
13-3_ref_1234,[0.         0.54423592 0.         0.16666667 0.70728793],[0.14028112 0.54411498 0.03089438 0.12058353 0.61578165]
50_1841012_cbphat-1tcb,[0.         0.54423592 0.         0.16666667 0.70728793],[0.02293233 0.44940322 0.22274906 0.14580555 0.44590137]
2_g4bbs13,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.18655276 0.60940266 0.42593463 0.21878321 0.11455045]
5-12,[0.         0.54423592 0.         0.16666667 0.70728793],[-0.03404056  0.61196778  0.07540467  0.16427122  0.65997642]
5-2,[0.         0.54423592 0.         0.16666667 0.70728793],[-0.03431241  0.55285695 -0.01249444  0.1999924   0.67631936]
5-11,[0.         0.54423592 0.         0.16666667 0.70728793],[ 0.16513868  0.47082546 -0.19952967  0.16216464  0.59701073]
282-ppy-1_01_0000,[0.         0.54423592 0.         0.16666667 0.70728793],[ 0.03330542  0.59573006 -0.02364811  0.15659424  0.68489992]
128_2010571_pfc-33tba,[0.04081633 0.54423592 0.         0.16666667 0.78554361],[0.07451059 0.54276989 0.11146748 0.26004064 0.59769658]
264-cp-py-2-dcb,[0.         0.54423592 0.         0.16666667 0.70728793],[ 0.03330542  0.59573006 -0.02364811  0.15659424  0.68489992]
2_g4bbs22,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.08031533 0.51576135 0.43255926 0.19596875 0.14470966]
2_g4bbs2,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.10148864 0.55211404 0.47237514 0.20942882 0.06515928]
264-cp-py-2-tcb,[0.         0.54423592 0.         0.16666667 0.70728793],[0.14223168 0.24628459 0.16821236 0.19173402 0.40085485]
2_g2mbs059,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.07540344 0.48607874 0.4897171  0.21862296 0.14552817]
13-2b_ref_br,[0.         0.54423592 0.         0.16666667 0.70728793],[0.20534656 0.39002234 0.10830689 0.25971199 0.3619333 ]
19_1035280_t18-1,[0.         0.54423592 0.         0.16666667 0.70728793],[ 0.48795716  0.13743113 -0.07234974  0.12120154  0.97928975]
129_1984228_upc-h7,[0.         0.54423592 0.         0.16666667 0.70728793],[0.02630335 0.61421638 0.14228022 0.21847121 0.51206671]
235_phof-1,[0.18367347 0.54155496 0.5        0.16666667 0.26105137],[0.15997923 0.39839439 0.37422956 0.08916735 0.21332355]
37_1541087-iii,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[ 0.07910225 -0.00217128  0.44158646  0.13445743  0.36324954]
232hof-tppas,[0.51020408 0.         0.         0.         0.13560335],[0.06944655 0.4353714  0.03270754 0.16604731 0.43660621]
197-3ct-18c6-i,[0.         0.54423592 0.         0.16666667 0.70728793],[0.29973596 0.65426915 0.176364   0.11421935 0.38225899]
64_1823163_1-co,[0.         0.54423592 0.         0.16666667 0.70728793],[0.37323228 0.50541334 0.27716701 0.26138151 0.37352198]
2262206854,[0.         0.54423592 0.         0.16666667 0.70728793],[0.30370964 0.3993513  0.17830995 0.23754797 0.23656922]
259-etta_br,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.17390325 0.48602791 0.50114108 0.18709043 0.18687044]
205l-et,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.12856688 0.61159068 0.23780351 0.07689869 0.42366216]
