cif_id,true_labels,predictions
11_1010353_hof-4,[0.         0.54423592 0.         0.16666667 0.70728793],[0.11202834 0.52257925 0.22490081 0.1598174  0.51314815]
192hof-hapcp,[0.18367347 0.45844504 0.         0.16666667 0.12843489],[0.43842789 0.45158177 0.1469572  0.17279102 0.38774297]
157_2078751_hof-16-ethanol,[0.18367347 0.54155496 0.5        0.16666667 0.26105137],[0.17605252 0.48577746 0.34744211 0.18810895 0.35513858]
258-hof-lifm-8,[0.         0.54423592 0.         0.16666667 0.70728793],[0.15325026 0.47654315 0.11379062 0.16967226 0.34695594]
37_1541085-i,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.12870537 0.05940412 0.22886239 0.19877906 0.47396242]
2_g234tmbs,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.14638923 0.48357836 0.37178928 0.19834216 0.30821018]
187_3d-thiophene-pbenzoquinone,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.21653192 0.47968896 0.16269889 0.20746758 0.34964283]
98_1938465_complex1,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.18780885 0.49400496 0.23642789 0.19984085 0.37727413]
10-sof-7,[0.         0.54423592 0.         0.16666667 0.70728793],[0.11017477 0.47709217 0.13383504 0.16841447 0.62769687]
36_1566036_imp-18,[0.         0.54423592 0.         0.16666667 0.70728793],[0.16482269 0.56653609 0.16099813 0.2396844  0.5721727 ]
162_2076399_pycalow-a,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[0.18172193 0.48821915 0.18661568 0.17056047 0.28191243]
54_1857527_py6mes25thf,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.20858573 0.51923172 0.12108774 0.1833986  0.50195417]
79_1890648_hof-fe,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.15655835 0.4033124  0.18194364 0.19919856 0.38306313]
141_2027045_hof-nf,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.18670401 0.52371788 0.18416658 0.23714492 0.37079112]
75_1889092_1a6pf6,[0.26530612 0.54155496 0.5        0.16666667 0.28554361],[0.17667959 0.49456172 0.05489256 0.18596461 0.36332696]
73_1908805_hcof-4,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[0.16425618 0.62441177 0.05440014 0.17854207 0.55611996]
187_3d-benzene,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.22803327 0.47128466 0.16383427 0.19834216 0.35020269]
87_1902587_tcpp-2dmf,[0.         0.54423592 0.         0.16666667 0.70728793],[0.09862624 0.49046222 0.10698442 0.17319156 0.52237087]
73_1910292_p7,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[0.17248142 0.6355196  0.0528982  0.17798485 0.55383786]
186_pfc-71,[0.         0.54423592 0.         0.16666667 0.70728793],[0.10781677 0.47904504 0.21513241 0.16932517 0.36620611]
62_1877481_cphatn-1tcb,[0.10204082 0.54423592 0.         0.16666667 1.        ],[0.11520375 0.56237013 0.04402622 0.16961224 0.59288072]
95_1865242_pethof-2,[0.3877551  0.24664879 0.         0.16666667 0.        ],[0.13423494 0.47840779 0.1576322  0.1634758  0.54575071]
254-exp_485,[0.         0.54423592 0.         0.16666667 0.70728793],[0.14898216 0.48378348 0.16050656 0.18339863 0.36797907]
37_1541098-xiv,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.160052   0.03052446 0.20328368 0.20614967 0.47264058]
258-hof-lifm-6,[0.         0.54423592 0.         0.16666667 0.70728793],[0.15376965 0.4769987  0.05225375 0.18202635 0.35245667]
78_1576305_1,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.15530913 0.52674169 0.18323344 0.19902445 0.37504345]
13-2a_ref_h,[0.         0.54423592 0.         0.16666667 0.70728793],[0.01924082 0.48357977 0.03317578 0.16967226 0.55842908]
12_trispyrazole1,[0.         0.54423592 0.         0.16666667 0.70728793],[0.08262502 0.45414312 0.11770409 0.16998818 0.62904791]
40_1510309_hoifs-2,[0.51020408 0.         0.         0.         0.13560335],[0.29861216 0.44845021 0.13615304 0.11497742 0.49382224]
250-hof-zstu-1,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.11663675 0.48436824 0.10243492 0.17003494 0.51852577]
75_1889096_26pf6,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[0.11016308 0.49933425 0.15606099 0.17957302 0.52011191]
313-h4bptc-bpe,[0.         0.54423592 0.         0.16666667 0.70728793],[0.19567252 0.48557593 0.13454679 0.18130502 0.34258417]
176_hof-zju-102,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[0.18203762 0.53472769 0.14788683 0.22142591 0.38291211]
62_1877480_cphatn-npdmac,[0.04081633 0.54423592 0.         0.16666667 0.78554361],[0.34184545 0.50537521 0.09123604 0.18147158 0.59058249]
14_1044789_hof-7,[0.08163265 0.97319035 0.         0.33333333 0.9223417 ],[0.13270842 0.53407891 0.17861329 0.14889988 0.44840251]
148_1940052_seu-1,[0.         0.54423592 0.         0.16666667 0.70728793],[0.1756944  0.48429673 0.22271759 0.18457182 0.38239388]
293-1_s5,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.13297315 0.39351803 0.1964739  0.21228701 0.3971214 ]
2342256277,[0.         0.54423592 0.         0.16666667 0.70728793],[0.11203739 0.53571985 0.17968146 0.18751379 0.33196764]
13-3_ref_1234,[0.         0.54423592 0.         0.16666667 0.70728793],[0.02546628 0.48357977 0.06110958 0.16967226 0.73677089]
50_1841012_cbphat-1tcb,[0.         0.54423592 0.         0.16666667 0.70728793],[0.12384049 0.42790126 0.14611913 0.17112658 0.61883006]
2_g4bbs13,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.12979557 0.4827385  0.46659058 0.18556291 0.22804993]
5-12,[0.         0.54423592 0.         0.16666667 0.70728793],[0.01940929 0.49060052 0.03480868 0.17109337 0.63010415]
5-2,[0.         0.54423592 0.         0.16666667 0.70728793],[0.01940929 0.49060052 0.03378798 0.17109337 0.63093881]
5-11,[0.         0.54423592 0.         0.16666667 0.70728793],[0.01961759 0.37293182 0.03808611 0.17222976 0.64352899]
282-ppy-1_01_0000,[0.         0.54423592 0.         0.16666667 0.70728793],[0.0147017  0.48357977 0.04414652 0.17080248 0.71186528]
128_2010571_pfc-33tba,[0.04081633 0.54423592 0.         0.16666667 0.78554361],[0.11773192 0.52288604 0.16222722 0.16679695 0.49455523]
264-cp-py-2-dcb,[0.         0.54423592 0.         0.16666667 0.70728793],[0.0147017  0.48357977 0.04414652 0.17080248 0.71186528]
2_g4bbs22,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.12895576 0.47202574 0.44210751 0.19934814 0.2579531 ]
2_g4bbs2,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.12895576 0.48196194 0.46897695 0.18461393 0.22804993]
264-cp-py-2-tcb,[0.         0.54423592 0.         0.16666667 0.70728793],[0.2061398  0.48357836 0.1697175  0.17748955 0.3534875 ]
2_g2mbs059,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.13401426 0.48357836 0.46847252 0.19782116 0.26509499]
13-2b_ref_br,[0.         0.54423592 0.         0.16666667 0.70728793],[0.18073973 0.47600485 0.10812741 0.15053495 0.4070238 ]
19_1035280_t18-1,[0.         0.54423592 0.         0.16666667 0.70728793],[0.50454262 0.47558329 0.03317272 0.16967226 0.62914926]
129_1984228_upc-h7,[0.         0.54423592 0.         0.16666667 0.70728793],[0.14158191 0.48378348 0.33382879 0.18591468 0.34616931]
235_phof-1,[0.18367347 0.54155496 0.5        0.16666667 0.26105137],[0.18026076 0.48602144 0.24952752 0.19742547 0.37062028]
37_1541087-iii,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.19167886 0.14769335 0.2740642  0.22892847 0.3694162 ]
232hof-tppas,[0.51020408 0.         0.         0.         0.13560335],[0.17252933 0.46491445 0.21088717 0.19505378 0.47984057]
197-3ct-18c6-i,[0.         0.54423592 0.         0.16666667 0.70728793],[0.16372654 0.52712734 0.17259125 0.20672982 0.38324026]
64_1823163_1-co,[0.         0.54423592 0.         0.16666667 0.70728793],[0.22269518 0.65430309 0.20181231 0.58083333 0.69700387]
2262206854,[0.         0.54423592 0.         0.16666667 0.70728793],[0.17380641 0.49042738 0.17467849 0.20290803 0.37826702]
259-etta_br,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.1783249  0.47686671 0.28853037 0.18373513 0.34875339]
205l-et,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.16296761 0.48507364 0.25709925 0.18409685 0.36929785]
